internal_ean,name_pt,brand,base_cost,action_needed
INT_1507CA,Pá de Jardim,AliTools,12.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1512E1,Podão Leiria Aberto,AliTools,9.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_15696C,Baldes Cónicos com Tampa,AliTools,11.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_162B76,Talocha base borracha 240x100x20mm,AliTools,3.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_17C98B,Pá Cabo de Madeira modelo Bufalo,AliTools,11.5600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_185252,"Cabo extensível para serrote de poda ""AR""",AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_187A42,Gancho Coração,AliTools,8.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_18E625,Pistola para Espuma PU,AliTools,4.0700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_191EFF,Serras craneanas Conjunto de 16 peças,AliTools,3.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_197DB7,Talocha para pavimentos INOX 500 MM -A5717,TytanX,7.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1A7A4F,Polainitos de soldador em pele,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1AA2CE,Martelo cofragem 750g profissional com cabo fibra de vidro com cabeça magnética,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1B8F95,Foice Mira,AliTools,9.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1CCDEC,Alicate porta eletrodos 500 AMP,AliTools,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1D29E8,Comedouro para Coelhos,AliTools,9.1600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1D7A25,Talocha de Grosa Metalica 120x270mm - A3672,TytanX,2.2100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1DC30C,Pulverizador 2 Lts,AliTools,1.9900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1EFEE4,Busca polos 19cms T/SDS  profissional transparente,AliTools,0.6300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1F04F1,Machadinha com Martelo,AliTools,11.0400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_1FE26D,Luz LED de presença 1W com interruptor,AliTools,0.6700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_21C7AC,Óculo de Proteção Prof. Pretos,FERMAN,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_228142,Espatula borracha 200mm,AliTools,0.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_25819F,Aspersor sectorial com regulação de direção  - 33 cm,AliTools,1.2500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_25DBE5,"Adaptador de torneira 3/4""",AliTools,0.2700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_274A51,Cabo Metálico com Cunha p/ gadanha,AliTools,10.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_27CA5A,Lança metálica + punho para Pulverizador 5 / 8 Lts,AliTools,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_287A6A,Foice Meia lua,AliTools,9.1100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2BDEA3,Colher de Jardim,AliTools,4.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2C24EF,Serras craneanas Conjunto de 6 peças,AliTools,1.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2C30F0,Parka Impermiável Reflectora,AliTools,15.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2C7B3F,Bota de segurança S3 preta KEVLAR & MICROFIBRA,EXENA,14.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2E2E06,Enxada Pontas Bico Turquel,AliTools,13.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2F2B60,Enxada Meia Lua Leiria,AliTools,13.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_2F3844,Talocha para estucador Inox 110x240MM,AliTools,8.1400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3107FD,Pá do Lixo,AliTools,1.0700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_31F737,Talocha 120x300 prof de aço lisa T/Inox- cabo de borracha,AliTools,2.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_32E3DD,Forquilha com cabo madeira,AliTools,15.5600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_33A8CD,Laminas pretas SK5 -18mm [10pcs] para Xizato -[890088/2],AliTools,1.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_33BAA0,Escova arame de aço com cabo de plástico,AliTools,0.6600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_343F0B,Machadinha Poda com Cabo ( + pequeno),AliTools,8.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3782C3,Maço de borracha preta com cabo em madeira envernizada,AliTools,0.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_38FC26,Ficha branca PLST tipo SHUKO,AliTools,0.4100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3A1B8B,Traçador de reta + Pó de Traçar + nivel,AliTools,1.5600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3B6AD0,Pás em Cabo Metal em Bico / Quadrada,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3BDD2F,Serras craneanas Conjunto de 11 peças,AliTools,2.2100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3BE30C,Sacho Feijão,AliTools,4.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3CA2A3,Forquilha curva,AliTools,12.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_3E6B04,Luva chefe crute cinza,AliTools,0.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4060F0,Colete de segurança de alta visibilidade verde,AliTools,0.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_40ADC2,Luva de soldador pele + crute 35 cm,AliTools,1.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4257CC,Esticador Olhal / Olhal 5x70mm - 25pcs,AliTools,7.4000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_426D23,Marreta  /  Martelo Campo,HARDMAN,5.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4325CA,Disco diamantado cerâmica extra retificadora / rebarbadora,AliTools,3.1500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_46382F,Foice Leiria com Peta,AliTools,9.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_48B77D,Sacho Coração,AliTools,6.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_49214C,Foice Douro Limpa,AliTools,8.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4A3ACE,Máscara de soldador com visor,AliTools,2.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4AC237,Serra cabos em aço inox 3mm,AliTools,0.2900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4BE460,Misturador 120x600 Arga Massa c/ paraf. M14,AliTools,5.1800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4C9C4B,Extensão Eléctrica 25Mts x 2.5mm Bobine [900338],AliTools,20.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4D07AB,Enxada Pontas Meia Redonda,AliTools,13.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4D0D3C,Máscaras cirurgicas cx 50pcs,AliTools,0.0400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_4E8F8A,Talocha para Lixa [ A0040],AliTools,1.1800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_51AE25,Luva industrial preta,AliTools,0.5100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_521E9F,Enxada Pontas Redondas,AliTools,9.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_533629,Ancinho Alenquer,AliTools,9.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_539176,Pá metálica quadrada vermelha,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_551364,Pulverizador elétrico bateria Litio com lança metálica telescópica,AliTools,31.1000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_55BC9D,Pá Francesa,AliTools,13.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_569E68,Picareta profissional sem cabo,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_572AF8,Máscara de Soldador AUTOMATIC [AK00291],FERMAN,11.1000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_573F85,Enxada Pontas Faca Turquel,AliTools,13.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_582C01,Arrelhada Marisco,AliTools,7.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_588860,Martelo Faz Tudo,AliTools,8.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_58E974,Enxada Pontas Faca,AliTools,9.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_595DDD,Pulverizador manual 5 L - PRO,AliTools,7.4000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_5B2311,Xizato autoload com 3 laminas Blst + cx expositora,AliTools,1.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_5C12A2,Bits profissionais 37pcs com ponta magnética,AliTools,3.5200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_5D2732,Disco segmentado profissional multiusos,AliTools,1.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_5EDDA9,Disco diamantado turbo para retificadora / rebarbadora,AliTools,1.0300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_60CA7F,"Turques de carpinteiro 8"" / 200mm",AliTools,2.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_60E7C8,Martelo de bola profissional com cabo em fibra de vidro,AliTools,2.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_62B1A9,óculos de proteção transparente,FERMAN,0.6600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6377DA,Cabo Metálico com Parafuso,AliTools,10.6500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_649102,Casaco Protecção Térmica - 5°c,AliTools,58.5200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_64FC79,Luva  pele genuína branca com dorso em algodão,AliTools,1.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_65601E,Podão Vinha,AliTools,9.6200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_66001A,Remendos e Cola para bicicleta,AliTools,0.5100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_66D5F8,Enxada 2 bicos,AliTools,8.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_694D4E,Filtro para máscara tipo COMACEC 2-BL,AliTools,0.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6A808A,Sacho Alce Nº0,AliTools,5.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6AB949,Comedouro para Galinhas Zincado,AliTools,8.1400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6B5A63,Alicate telefonista pontas curvas profissional,AliTools,1.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6B7CBC,Fato chuva em PU - profissional,AliTools,12.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6CE894,Maço de Madeira,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6D71E5,Machado Sul,AliTools,16.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6DF80E,Enxada Vimeiro,AliTools,10.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6E6640,Alicate telefonista pontas redondas profissional,AliTools,1.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6E8F8A,Pistola mastik profissional de aço tipo italiano,AliTools,1.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_6F0ADB,Pulverizador com lança em fibra,AliTools,6.6600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_719133,Pistola mastik de alumínio tipo italiano,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_72A6C3,Tesoura vindima profissional cabo borracha,AliTools,2.5600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_72D1B7,Ancinho,AliTools,5.0400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_733153,Corta Rebites,AliTools,6.6600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7556BB,Disco de corte para madeira 140x20x24T,AliTools,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_759F89,Ficha com interruptor simples,AliTools,1.0300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_75FC3E,Correia de aperto com Tensor [vários Tamanhos],AliTools,1.9400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_769BDD,Pá Valar,AliTools,11.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_772FF5,Serrote de poda pequeno dobrável,AliTools,1.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_77E0D9,Escopro com protecção 7cms [300×16mm],AliTools Professional,2.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_77EAE5,Mosquetão Galvanizado niquelado,AliTools,6.6600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_77EDB2,Martelo Fazer Calçada,AliTools,11.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_787D92,Alicate universal profissional,AliTools,1.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_790FD2,Enxada Tipo Ancinho,AliTools,12.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7AB457,Corrente de plástico branco e vermelha,AliTools,14.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7AD991,Talocha de Grosa Endurecida 120 x 375mm - A3701,TytanX,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7ADF17,"Adaptador de torneira 1""",AliTools,0.3100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7BA27E,Rodizio industrial fixo - roda cinza,AliTools,0.8700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7BBA67,Sacho Vimeiro,AliTools,5.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7C3429,Extintor Pó Quimico ABC,AliTools,17.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_7E6F39,Luva para soldador crute vermelha,AliTools,1.8400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_822ED7,Serrote  de poda no AR com lâmina,AliTools,5.1800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_82A1F7,Rede de proteção laranja 100g/M2 = 1Mx50mts,FERMAN,10.3600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_843B5C,Pica Solda,AliTools,8.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_86959B,Gancho Dentes Redondo,AliTools,10.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_86C56A,Esticador galvanizado DIN 1480,AliTools,6.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_885B1E,Escacilhadeira Pedra 6cms,AliTools,12.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_888420,Ficha tripla Rectângular,AliTools,1.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_8AA4B0,Escova de Nylon para Roçadora 200x25.4mm para Limpeza Superficies,AliTools,6.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_8B3556,Luva nylon com latex na palma dedos,AliTools,0.4100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_8DBB5F,Machadinha Rola com cabo,AliTools,10.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_8DD22B,Aparelho de arrasto 4 TON,AliTools,8.1400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_8F590A,Óculo de proteção [ para sobreposição de óculos],FERMAN,1.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_92C3EE,"Serrote para Pladur 6"" Profissional",AliTools,2.2100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_95F83C,Catrabucha de taça ondulada para rebarbadora,AliTools,1.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_97F25F,Escova de Arame Galvanizado para Roçadora,AliTools,4.2600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_986931,Gancho móvel redondo com mola niquelado,AliTools,17.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_988725,Sacho Monda,AliTools,5.1100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_98B710,Raspador Leiria sem cabo,AliTools,5.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_98BF33,Máscara Protecção FFP2 c/ valvula,AliTools,0.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_998FAC,Cabo de fibra - faz tudo / martelo / cofragem,AliTools,1.0300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9AE223,Marreta Campo,HARDMAN,6.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9B17E4,Ancinho Ferreiro,AliTools,7.6300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9B23CA,Alicate bomba de água 250mm,AliTools,3.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9CDA8B,Máscara de soldador com pega ECO,FERMAN,1.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9DDD1A,Machado Cortiça,AliTools,26.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9F239E,"Luva Nitrile azul 3/4"" grossa com Punho malha 10"" - 880127",FERMAN,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9F957C,Pedra de afiar Gadanha,AliTools,0.3800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_9FCBAF,Avental de soldador em pele,AliTools,3.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A00E4A,Sacho Alce Nº1,AliTools,5.8900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A2AFF1,Fita de sinalização branca e vermelha 200m x 50mm,AliTools,1.1800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A6453D,Sapato pele preta S1P biqueira e palmilha em Aço,EXENA,10.3600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A70571,Carreto com cabo de aço 10mts -  450 kg,AliTools,13.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A7BF73,"Disco corte Madeira, Plst, Gesso Cartonado 125x22.2mm",AliTools,3.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A90EFD,Foice Limpa Caldas,AliTools,9.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A912C1,Mini picareta 400g pá/bico com cabo em fibra de vidro,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A92212,Arrelhada Vinha,AliTools,8.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A927DF,Escova Latonada 4 filas com raspador,AliTools,0.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_A935FA,Plástico com Fita 210x20mts,AliTools,1.9900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AAA3C1,Enxada Pontas Bico,AliTools,9.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AAD5F9,Pião,AliTools,1.4800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AB0E47,Machadinha Lisa com Cabo,AliTools,10.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AB1F2E,Enxada Barreiro,AliTools,11.5600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AB5702,Machadinha com Unhas,AliTools,12.8900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AC493E,Maço de borracha branca com cabo em madeira envernizada,AliTools,1.5600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AC7E99,Luva nylon e Latex - Estanque TOP,AliTools,1.1000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AD424F,Martelo  Maquinista profissional com cabo em fibra de vidro,AliTools,2.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_ADF88D,Machadinha Limpeza,AliTools,8.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_AE1708,Cabo de fibra Grande Picareta / Marreta 910 mm,AliTools,4.0700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B0A4A3,"Corta Rebites  - 8""",AliTools,2.4600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B20954,Xizato com travão 18mm SK2,AliTools,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B26D2E,Gadanha Mato 2 Cortes,AliTools,19.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B34496,Faz tudo 600 Gr polido profissional com cabo em fibra de vidro,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B3E6A1,Enxada Meia Lua Alcobaça,AliTools,13.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B41306,Machadão Lenha N°3,AliTools,20.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B4320C,Safra,AliTools,10.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B571DA,Mini picareta pá & bico - Picadeira cabo de fibra,AliTools,4.1100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B6E24D,Colher de pedreiro cortada - cabo de borracha,AliTools,1.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B77B27,Sapato Camurça S1P NO METAL,EXENA,13.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B7F203,Cinto Pedreiro com 11 Bolsas para Ferramentas,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B836C0,Enxada Meia Lua Triangular Turquel,AliTools,13.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B85085,Calças e jaqueta de trabalho azul marinho,AliTools,7.0400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B899CF,Chaviete Temperado,AliTools,2.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B8AD33,Carro de ferramentas com 3 prateleiras,AliTools,37.0300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B8B005,Chave de virar ferro,AliTools,4.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B9791A,Talocha borracha preta,AliTools,1.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_B9DB7B,Agulheta de plástico com regulador - encaixe rápido,AliTools,0.5100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BA561F,Fita métrica em aço - caixa metálica,AliTools,4.0700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BC01FC,Alicate descarnador profissional,AliTools,1.9900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BC7D7C,Forquilha curva mini- dente torneado,AliTools,8.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BCFAC0,Agrafador metálico 4-14mm,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BD83B0,Ancinho para Batata,AliTools,8.8900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BDF8E5,Alicate telefonista profissional,AliTools,1.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BE9C45,Auscultadores de proteção - Protectores,FERMAN,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BECF0D,Marcador Preto Tinta Permanente BLST 5pcs,AliTools,1.1000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BF6FDA,Fita de sinalização amarela e preta 18mts x 50mm,AliTools,1.2500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_BFAA17,Enxada Pontas Meia Redonda Turquel,AliTools,13.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C27E8D,Suporte para  Mangueira em Plástico Verde,AliTools,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C2E23B,Espatula em  ABS  - 250MM,AliTools,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C362EA,Machadinha Rola,AliTools,9.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C601C1,Viseira de proteção acrílica,FERMAN,0.2100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C6FC8E,Enxada Meia Lua Caldas,AliTools,13.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C7AB49,"Tesoura de cortar sebes 23"" com lâmina ondulada 64 cm",AliTools,4.2600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C8B6CB,Sacho Viseu Nº2/0,AliTools,5.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_C99775,Corredor Direito,AliTools,9.9200,VERIFICAR CSV e CRIAR VARIANTES se necessário
